font,ascent-override,descent-override,line-gap-override
"/ofl/alegreyasans/AlegreyaSans-BlackItalic.ttf",0.9,0.3,0
"/ofl/alegreyasans/AlegreyaSans-Bold.ttf",0.9,0.3,0
"/ofl/alegreyasans/AlegreyaSans-BoldItalic.ttf",0.9,0.3,0
"/ofl/alegreyasans/AlegreyaSans-ExtraBold.ttf",0.9,0.3,0
"/ofl/alegreyasans/AlegreyaSans-ExtraBoldItalic.ttf",0.9,0.3,0
"/ofl/alegreyasans/AlegreyaSans-Italic.ttf",0.9,0.3,0
"/ofl/alegreyasans/AlegreyaSans-Light.ttf",0.9,0.3,0
"/ofl/alegreyasans/AlegreyaSans-LightItalic.ttf",0.9,0.3,0
"/ofl/alegreyasans/AlegreyaSans-Medium.ttf",0.9,0.3,0
"/ofl/alegreyasans/AlegreyaSans-MediumItalic.ttf",0.9,0.3,0
"/ofl/alegreyasans/AlegreyaSans-Regular.ttf",0.9,0.3,0
"/ofl/alegreyasans/AlegreyaSans-Thin.ttf",0.9,0.3,0
"/ofl/alegreyasans/AlegreyaSans-ThinItalic.ttf",0.9,0.3,0
"/ofl/alegreyasanssc/AlegreyaSansSC-Black.ttf",0.9,0.3,0
"/ofl/alegreyasanssc/AlegreyaSansSC-BlackItalic.ttf",0.9,0.3,0
"/ofl/alegreyasanssc/AlegreyaSansSC-Bold.ttf",0.9,0.3,0
"/ofl/alegreyasanssc/AlegreyaSansSC-BoldItalic.ttf",0.9,0.3,0
"/ofl/alegreyasanssc/AlegreyaSansSC-ExtraBold.ttf",0.9,0.3,0
"/ofl/alegreyasanssc/AlegreyaSansSC-ExtraBoldItalic.ttf",0.9,0.3,0
"/ofl/alegreyasanssc/AlegreyaSansSC-Italic.ttf",0.9,0.3,0
"/ofl/alegreyasanssc/AlegreyaSansSC-Light.ttf",0.9,0.3,0
"/ofl/alegreyasanssc/AlegreyaSansSC-LightItalic.ttf",0.9,0.3,0
"/ofl/alegreyasanssc/AlegreyaSansSC-Medium.ttf",0.9,0.3,0
"/ofl/alegreyasanssc/AlegreyaSansSC-MediumItalic.ttf",0.9,0.3,0
"/ofl/alegreyasanssc/AlegreyaSansSC-Regular.ttf",0.9,0.3,0
"/ofl/alegreyasanssc/AlegreyaSansSC-Thin.ttf",0.9,0.3,0
"/ofl/alegreyasanssc/AlegreyaSansSC-ThinItalic.ttf",0.9,0.3,0
"/ofl/alegreyasc/AlegreyaSC-Black.ttf",1.016,0.345,0
"/ofl/alegreyasc/AlegreyaSC-BlackItalic.ttf",1.016,0.345,0
"/ofl/alegreyasc/AlegreyaSC-Bold.ttf",1.016,0.345,0
"/ofl/alegreyasc/AlegreyaSC-BoldItalic.ttf",1.016,0.345,0
"/ofl/alegreyasc/AlegreyaSC-ExtraBold.ttf",1.016,0.345,0
"/ofl/alegreyasc/AlegreyaSC-ExtraBoldItalic.ttf",1.016,0.345,0
"/ofl/alegreyasc/AlegreyaSC-Italic.ttf",1.016,0.345,0
"/ofl/alegreyasc/AlegreyaSC-Medium.ttf",1.016,0.345,0
"/ofl/alegreyasc/AlegreyaSC-MediumItalic.ttf",1.016,0.345,0
"/ofl/alegreyasc/AlegreyaSC-Regular.ttf",1.016,0.345,0
"/ofl/aleo/Aleo-Bold.ttf",0.805,0.195,0.2
"/ofl/aleo/Aleo-BoldItalic.ttf",0.805,0.195,0.2
"/ofl/aleo/Aleo-Italic.ttf",0.805,0.195,0.2
"/ofl/aleo/Aleo-Light.ttf",0.805,0.195,0.2
"/ofl/aleo/Aleo-LightItalic.ttf",0.805,0.195,0.2
"/ofl/aleo/Aleo-Regular.ttf",0.805,0.195,0.2
"/ofl/alexbrush/AlexBrush-Regular.ttf",0.825,0.425,0
"/ofl/alfaslabone/AlfaSlabOne-Regular.ttf",1.036,0.333,0
"/ofl/alice/Alice-Regular.ttf",0.909,0.234,0
"/ofl/alike/Alike-Regular.ttf",0.984,0.27,0
"/ofl/alikeangular/AlikeAngular-Regular.ttf",0.984,0.27,0
"/ofl/allan/Allan-Bold.ttf",0.896484375,0.353515625,0
"/ofl/allan/Allan-Regular.ttf",0.94140625,0.201171875,0
"/ofl/allerta/Allerta-Regular.ttf",1.032226563,0.24609375,0
"/ofl/allertastencil/AllertaStencil-Regular.ttf",1.032226563,0.24609375,0
"/ofl/allison/Allison-Regular.ttf",0.89,0.38,0
"/ofl/allura/Allura-Regular.ttf",0.8,0.45,0
"/ofl/almarai/Almarai-Bold.ttf",varies by OS,varies by OS,varies by OS
"/ofl/almarai/Almarai-ExtraBold.ttf",varies by OS,varies by OS,varies by OS
"/ofl/almarai/Almarai-Light.ttf",varies by OS,varies by OS,varies by OS
"/ofl/almarai/Almarai-Regular.ttf",varies by OS,varies by OS,varies by OS
"/ofl/almendra/Almendra-Bold.ttf",0.951,0.345,0
"/ofl/almendra/Almendra-BoldItalic.ttf",0.951,0.345,0
"/ofl/almendra/Almendra-Italic.ttf",0.951,0.345,0
"/ofl/almendra/Almendra-Regular.ttf",0.951,0.345,0
"/ofl/almendradisplay/AlmendraDisplay-Regular.ttf",0.951,0.345,0
"/ofl/almendrasc/AlmendraSC-Regular.ttf",0.939,0.251,0
"/ofl/alumnisans/AlumniSans-Italic[wght].ttf",0.9,0.3,0
"/ofl/alumnisans/AlumniSans[wght].ttf",0.9,0.3,0
"/ofl/alumnisansinlineone/AlumniSansInlineOne-Italic.ttf",0.9,0.3,0
"/ofl/alumnisansinlineone/AlumniSansInlineOne-Regular.ttf",0.9,0.3,0
"/ofl/amarante/Amarante-Regular.ttf",0.986328125,0.263671875,0
"/ofl/amaranth/Amaranth-Bold.ttf",0.976,0.236,0
"/ofl/amaranth/Amaranth-BoldItalic.ttf",0.953,0.258,0
"/ofl/amaranth/Amaranth-Italic.ttf",0.976,0.236,0
"/ofl/amaranth/Amaranth-Regular.ttf",0.976,0.236,0
"/ofl/amaticsc/AmaticSC-Bold.ttf",1.016,0.245,0
"/ofl/amaticsc/AmaticSC-Regular.ttf",1.016,0.245,0
"/ofl/amethysta/Amethysta-Regular.ttf",0.9873046875,0.2749023438,0
"/ofl/amiko/Amiko-Bold.ttf",0.928,0.406,0
"/ofl/amiko/Amiko-Regular.ttf",0.928,0.406,0
"/ofl/amiko/Amiko-SemiBold.ttf",0.928,0.406,0
"/ofl/amiri/Amiri-Bold.ttf",1.124,0.634,0
"/ofl/amiri/Amiri-BoldItalic.ttf",1.124,0.634,0
"/ofl/amiri/Amiri-Italic.ttf",1.124,0.634,0
"/ofl/amiri/Amiri-Regular.ttf",1.124,0.634,0
"/ofl/amita/Amita-Bold.ttf",1.292,0.65,0
"/ofl/amita/Amita-Regular.ttf",1.292,0.65,0
"/ofl/amstelvaralpha/AmstelvarAlpha-VF.ttf",0.95,0.25,0
"/ofl/anaheim/Anaheim-Regular.ttf",0.961,0.328,0
"/ofl/andadapro/AndadaPro-Italic[wght].ttf",0.942,0.235,0
"/ofl/andadapro/AndadaPro[wght].ttf",0.942,0.235,0
"/ofl/andika/Andika-Regular.ttf",1.220703125,0.390625,0
"/ofl/andikanewbasic/AndikaNewBasic-Bold.ttf",1.220703125,0.390625,0
"/ofl/andikanewbasic/AndikaNewBasic-BoldItalic.ttf",1.220703125,0.390625,0
"/ofl/andikanewbasic/AndikaNewBasic-Italic.ttf",1.220703125,0.390625,0
"/ofl/andikanewbasic/AndikaNewBasic-Regular.ttf",1.220703125,0.390625,0
"/ofl/anekbangla/AnekBangla[wdth,wght].ttf",1.25,0.616,0
"/ofl/anekdevanagari/AnekDevanagari[wdth,wght].ttf",1.013,0.6925,0
"/ofl/anekgujarati/AnekGujarati[wdth,wght].ttf",0.9875,0.532,0
"/ofl/anekgurmukhi/AnekGurmukhi[wdth,wght].ttf",0.75,0.45,0
"/ofl/anekkannada/AnekKannada[wdth,wght].ttf",1.015,0.655,0
"/ofl/aneklatin/AnekLatin[wdth,wght].ttf",0.9,0.2,0
"/ofl/anekmalayalam/AnekMalayalam[wdth,wght].ttf",1.0175,0.415,0
"/ofl/anekodia/AnekOdia[wdth,wght].ttf",0.98,0.7,0
"/ofl/anektamil/AnekTamil[wdth,wght].ttf",0.9815,0.4265,0
"/ofl/anektelugu/AnekTelugu[wdth,wght].ttf",0.9,0.6,0
"/ofl/angkor/Angkor-Regular.ttf",1.220703125,0.5859375,0
"/ofl/annieuseyourtelescope/AnnieUseYourTelescope-Regular.ttf",1.024414063,0.4091796875,0
"/ofl/anonymouspro/AnonymousPro-Bold.ttf",0.8178710938,0.1821289063,0
"/ofl/anonymouspro/AnonymousPro-BoldItalic.ttf",0.8178710938,0.1821289063,0
"/ofl/anonymouspro/AnonymousPro-Italic.ttf",0.8178710938,0.1821289063,0
